Count,Period,Shipments,Costco,Share,A_National,F_National,Nprice,A_Drug,F_Drug,DrugP,A_Channel,F_Channel,ChannelP,A_Conventional,F_Conventional,ConvtP,A_Discount,F_Discount,DISCTP,A_Alberta,F_Alberta,A_BC,F_BC,A_MAN+SASK,F_MAN+SASK,A_MARITIMES,F_Maritimes,A_Ontario,F_Ontario,A_Quebec,F_Quebec,A_TL_West,F_TL_WEST,GB,GB_MM_Price, GDP ,,,Count,,,L29BPT,L31BPT,L38BPT,L36BT,L3045BPT,L45BPT,A_L3029BT,F_BT29,A_L31BT,F_BT31,A_31BUV,F_BUV31,L29BPU,L31BPU,L38BPU,L36BPU,L41BPU,L45BPU,,Pulse4,SP119,SP120,SP121,Pulse145,Pulse146,Pulse148
148,Oct/11/2014,579796.442,18684,0.032225103,524652,536074.52,5.42,128110,127099.63,6.316666667,396544,396544.09,5.16,169724,178618.01,6.92,354930,360097.6,4.826666667,66790,67605.51,51463,51463,36512,33553.33,26093,26159.82,258293,265065.07,85504,88020.46,150046,148051.65,396544,5.16,1653820,,,148,,,6.44,6.38,7.5,5.54,12.39,3.66,257718,261738.0408,138246,142685.4726,183610,188786.2166,4.9,4.81,5.49,4.22,5.97,3.6,,0,0,0,0,0,0,0
149,Oct/18/2014,393308.818,33216,0.084452721,443263,456403.53,5.706666667,125103,124252.91,6.49,318161,300648.35,5.423333333,150973,151553.37,7.38,292291,298463.22,5.023333333,61037,62019.38,49045,47022.47,34884,35191.19,25170,25201.56,192603,200591.44,80523,82331.47,143290,147909.97,318161,5.423333333,1652818,,,149,,,6.73,7.03,7.55,5.52,12.74,3.63,223869,228542.8623,108034,113225.0404,145138,151347.2339,5.09,5.24,5.53,4.16,6.01,3.55,,0,0,0,0,0,0,0
150,Oct/25/2014,457935.95,21780,0.047561236,416136,422487.37,5.89,130684,124951.19,6.543333333,285450,275639.32,5.61,190559,187459.27,6.55,225576,252862.26,5.383333333,61186,60966.61,46456,45844.47,34120,33877.68,23767,24497.11,166591,177915.39,84015,80677.93,139224,142209.79,285450,5.61,1651605,,,150,,,6.91,7.36,7.53,5.58,12.59,3.64,214378,215692.4762,98221,101234.7243,130314,134767.7089,5.22,5.55,5.51,4.18,5.92,3.57,,0,0,0,0,0,0,0
151,Nov/01/2014,384067.682,15264,0.039742995,428502,412866.04,5.826666667,126787,130095.36,6.566666667,301715,275803.58,5.53,164661,172422.31,7.043333333,263841,238425.15,5.173333333,61191,61100.12,43579,44630.81,32118,33261.26,26079,23426.32,187165,172538.56,78370,81839,138824,138785.2,301715,5.53,1650714,,,151,,,6.78,7.19,7.49,5.51,12.7,3.61,220243,212995.2139,104092,97797.31973,137648,129542.4336,5.17,5.44,5.5,4.18,5.98,3.51,,0,0,0,0,0,0,0
152,Nov/08/2014,451223.228,9396,0.020823396,421640,423613.52,5.87,126711,129047.48,6.53,294926,275967.84,5.596666667,160857,168317.11,7.203333333,260783,259906.35,5.18,62910,62816.96,47103,45947.81,31828,31646,24355,25190.87,185179,184331.1,70265,75232.99,138902,140924.61,294926,5.596666667,1650679,,,152,,,6.95,7.34,7.44,5.58,12.83,3.64,215391,218033.521,100568,102824.2791,134129,135662.6615,5.25,5.5,5.54,4.2,6.07,3.57,,0,0,0,0,0,0,0
153,Nov/15/2014,454640.394,30720,0.067569887,397210,417649.65,5.923333333,121459,123911.86,6.49,275753,276132.09,5.69,168788,183349.07,6.743333333,228423,242104.31,5.38,58368,61137.69,44435,44919.14,30625,31412.02,22792,23875.09,171908,176241.07,69080,71528.12,129842,136459.42,275753,5.69,1651753,,,153,,,6.94,7.5,7.42,5.55,12.3,3.66,205619,213865.4279,94130,99829.28053,124475,132757.7272,5.28,5.67,5.52,4.14,6.03,3.59,,0,0,0,0,0,0,0
154,Nov/22/2014,377832.278,20304,0.05373813,371751,396417.17,6.056666667,110751,116377.25,6.666666667,261000,276296.35,5.803333333,155395,155908.1,7.016666667,216358,227255.49,5.433333333,55029,56591.07,41916,43187.14,29443,30441.42,21216,22682.19,158497,170487.31,65652,70568.5,127085,130893.57,261000,5.803333333,1653456,,,154,,,7.04,7.63,7.45,5.55,11.71,3.78,196091,205470.8265,86563,94346.15156,111952,124751.0356,5.36,5.9,5.5,3.97,5.98,3.7,,0,0,0,0,0,0,0
155,Nov/29/2014,356558.912,7020,0.019688191,373923,374290.36,6.036666667,109294,111908.01,6.653333333,264629,276460.6,5.81,152168,152540.13,7.103333333,221756,217202.38,5.42,56450,56344.9,42598,43488.81,28642,29487.75,21787,21479.37,158165,159133.58,66282,67792.49,127861,128576.31,264629,5.81,1655190,,,155,,,6.97,7.68,7.5,5.52,11.67,3.63,199064,197285.8324,86322,87899.02148,111260,114358.5344,5.33,5.96,5.5,4.01,5.94,3.58,,0,0,0,0,0,0,0
156,Dec/06/2014,402586.746,10044,0.02494866,379289,376178.08,6.063333333,114233,116609.73,6.63,265057,276624.86,5.85,179653,180836.13,6.593333333,199638,221772.9,5.63,57970,58479.77,42601,43487.08,28633,28841.49,22710,21915.16,155724,158852.51,71655,68302.66,129338,129247.75,265057,5.85,1656359,,,156,,,7.08,7.78,7.54,5.57,11.52,3.67,200795,199839.7774,86495,87707.22547,111446,113804.4831,5.36,6.04,5.38,3.99,5.97,3.61,,0,0,0,0,0,0,0
157,Dec/13/2014,448614.58,8112,0.018082337,388344,380841.75,5.986666667,117133,116713.99,6.49,271211,276789.11,5.813333333,182908,182100.33,6.513333333,205436,203301.34,5.59,57892,58493.21,43170,44907.49,29380,28834.22,23089,24284.28,162350,156785.96,72466,72653.75,130690,130512.2,271211,5.813333333,1656469,,,157,,,7.08,7.82,7.6,5.56,12.35,3.7,200432,201326.7867,87510,87868.92499,115147,113980.561,5.24,5.94,5.13,3.88,5.92,3.63,,0,0,0,0,0,0,0
158,Dec/20/2014,709927.492,5256,0.007403573,427319,441163,5.95,129653,129014,6.54,297666,324276,5.706666667,193679,184262,6.58,233640,247194,5.456666667,60300,61820,46841,51651,30097,31618,29110,30963,184881,192469,76093,73311,137237,141063,297666,5.706666667,1657468.447,,,158,,,7.31,8.07,7.78,5.63,12.76,3.69,210782,215987,91912,96277,128901,128491,5.21,5.76,4.72,3.91,5.87,3.6,,0,0,0,0,0,0,0
159,Dec/27/2014,527124.546,9360,0.017756714,459486,433431,5.883333333,155056,129743,6.34,304430,277118,5.666666667,220757,185839,6.416666667,238730,226434,5.433333333,62687,58902,50731,48272,31181,29483,33386,30892,203056,186955,78448,70988,144598,136229,304430,5.666666667,1658468.498,,,159,,,7.58,8.38,7.84,5.74,13.71,3.82,213403,207482,95538,89822,142090,118708,5.13,5.64,4.52,3.92,5.67,3.63,,0,0,0,0,0,0,0
160,Jan/3/2015,208703.84,7956,0.038121004,387929,389309,6.106666667,127885,120482,6.583333333,260047,277282,5.89,189074,187005,6.623333333,198856,212613,5.68,56431,59296,42592,44565,30099,29520,22379,21926,162471,162467,73960,74548,129121,133245,260047,5.89,1659469.152,,,160,,,7.21,8.07,7.78,5.46,12.91,3.68,199687,201946,89521,90752,120024,120084,5.42,6.02,5,4.38,6.01,3.57,,0,0,0,0,0,0,0
161,Jan/10/2015,213197.286,9216,0.043227567,390639,389550,6.09,123681,120938,6.516666667,266958,277446,5.903333333,189440,188026,6.55,201198,214367,5.696666667,58926,59632,45109,44523,31141,29550,21741,22022,161953,162494,71770,74997,135174,133878,266958,5.903333333,1660470.409,,,161,,,7.16,8.01,7.69,5.49,12.4,3.71,203267,202315,90659,91559,120678,121249,5.43,6.02,5.16,4.38,5.88,3.6,,0,0,0,0,0,0,0
162,Jan/17/2015,427971.75,9504,0.022207073,387326,389760,6.12,123239,124088,6.596666667,264089,277610,5.913333333,190871,188860,6.593333333,196455,215887,5.703333333,58137,59921,44478,44187,31177,29574,21009,22094,160492,162518,72038,75360,133791,134427,264089,5.913333333,1661472.271,,,162,,,7.18,8.01,7.69,5.47,12.75,3.69,203504,202633,88934,92263,117796,122240,5.47,6.05,5.12,4.48,5.92,3.58,,0,0,0,0,0,0,0
163,Jan/24/2015,519368.918,7488,0.014417497,390948,389942,6.1,123143,121433,6.613333333,267805,277775,5.896666667,189594,189560,6.57,201353,217209,5.706666667,58553,60171,43848,44801,31335,29593,20647,22150,161522,162537,75044,75654,133736,134907,267805,5.896666667,1662474.737,,,163,,,7.21,7.99,7.61,5.48,13.14,3.71,204588,202906,90127,92878,119256,123085,5.48,6.04,5.18,4.28,6.06,3.63,,0,0,0,0,0,0,0
164,Jan/31/2015,392996.888,9720,0.02473302,382986,390100,6.07,119027,122225,6.566666667,263960,277939,5.87,184199,190142,6.536666667,198788,218367,5.686666667,58097,60388,42685,45943,30589,29609,20046,22192,157129,162554,74440,75892,131373,135329,263960,5.87,1663477.808,,,164,,,7.17,7.91,7.65,5.54,12.91,3.72,199269,203140,87409,93417,116723,123809,5.41,5.93,5.16,4.3,5.97,3.63,,0,0,0,0,0,0,0
165,Feb/7/2015,420573.32,8784,0.020885776,383289,390238,6.096666667,121833,124071,6.656666667,261456,278103,5.883333333,188378,190627,6.583333333,194912,219387,5.706666667,58062,60578,43484,44722,30824,29622,19056,22224,155377,162568,76485,76085,132372,135700,261456,5.883333333,1664481.485,,,165,,,7.24,8,7.63,5.55,12.86,3.74,200089,203341,86829,93891,116077,124433,5.46,5.98,5.24,4.31,5.89,3.66,,0,0,0,0,0,0,0
166,Feb/14/2015,393875.28,4500,0.011424936,386170,390358,6.056666667,124864,120062,6.486666667,261305,278267,5.91,190913,191031,6.52,195258,220291,5.69,59582,60745,43446,42902,29793,29632,20389,22249,157766,162580,75194,76241,132821,136029,261305,5.91,1665485.767,,,166,,,7.2,8.05,7.62,5.56,12.12,3.69,201319,203514,86912,94310,116944,124973,5.43,5.98,5.21,4.27,5.86,3.6,,0,0,0,0,0,0,0
167,Feb/21/2015,379499.378,8820,0.023241145,383007,390462,6.113333333,125057,120804,6.606666667,257951,278432,5.903333333,192552,191368,6.57,190456,221098,5.706666667,59680,60894,42669,42897,30391,29640,19522,22268,154937,162591,75808,76368,132741,136322,257951,5.903333333,1666490.654,,,167,,,7.28,8.08,7.62,5.49,11.23,3.81,199316,203663,89005,94682,118766,125443,5.54,6.05,5.22,4.36,5.93,3.7,,0,0,0,0,0,0,0
168,Feb/28/2015,365123.476,6864,0.01879912,391307,403460,6.186666667,128867,124613,6.65,262441,278596,5.973333333,198089,191649,6.66,193217,221825,5.766666667,59346,61028,41975,44790,29519,29647,21583,22282,161391,168957,77492,76470,130840,136585,262441,5.973333333,1667496.149,,,168,,,7.32,8.08,7.65,5.49,12.09,3.73,202551,203790,91909,95013,122370,125856,5.56,6.07,5.31,4.47,5.59,3.62,,0,0,0,0,0,0,0
169,Mar/7/2015,334467.926,5220,0.015606878,405425,405485,6.173333333,129452,128563,6.64,275973,278760,5.966666667,200704,191883,6.64,204722,222483,5.78,62054,61148,43221,45143,30670,29652,22259,22293,166897,170519,80324,76553,135944,136823,275973,5.966666667,1668502.249,,,169,,,7.31,8.03,7.68,5.5,11.92,3.7,208926,203900,96106,95310,127626,126220,5.53,6.05,5.36,4.45,5.38,3.59,,0,0,0,0,0,0,0
170,Mar/14/2015,333140.928,4680,0.014048109,405170,390699,6.143333333,129011,120012,6.62,276159,278924,5.923333333,196441,192078,6.636666667,208728,223084,5.716666667,61296,61258,44402,43768,31876,29657,22963,22301,168864,162613,75771,76620,137574,137039,276159,5.923333333,1669508.957,,,170,,,7.27,8.02,7.76,5.53,9.8,3.72,208829,196747,94206,95577,125163,126545,5.46,6.04,5.38,4.45,4.54,3.59,,0,0,0,0,0,0,0
171,Mar/21/2015,489787.594,4680,0.009555162,426242,390758,6.166666667,134086,120635,6.74,292156,279089,5.89,202309,192240,6.68,223933,236034,5.716666667,64811,61359,45438,43393,32429,29660,22200,22308,178631,162618,82734,76675,142679,137237,292156,5.89,1670516.272,,,171,,,7.25,7.87,7.77,5.53,9.99,3.71,218159,204075,103433,102532,135743,126836,5.48,6,5.38,4.49,4.55,3.6,,0,0,0,0,0,0,0
172,Mar/28/2015,576557.848,6864,0.011905137,427341,390810,6.126666667,136499,125110,6.616666667,290841,279253,5.876666667,205924,192375,6.603333333,221417,235727,5.706666667,64269,61453,46112,42735,32515,29663,23228,22313,178501,162622,82718,76719,142897,137419,290841,5.876666667,1671524.195,,,172,,,7.24,7.8,7.72,5.5,11.3,3.69,219608,204144,104532,103159,137000,127100,5.51,5.95,5.44,4.46,5.36,3.57,,0,0,0,0,0,0,0
173,Apr/4/2015,523221.352,21696,0.041466198,425949,390855,6.066666667,136684,128515,6.513333333,289265,279417,5.836666667,205396,192488,6.49,220552,234523,5.693333333,66528,62724,46348,44511,32704,29665,23132,22316,170422,162626,86817,76754,145578,137588,289265,5.836666667,1672532.727,,,173,,,7.22,7.76,7.66,5.48,11.86,3.72,217467,209760,103088,102291,136791,127340,5.47,5.85,5.48,4.45,5.33,3.59,,0,0,0,0,0,0,0
174,Apr/11/2015,519529.822,28872,0.055573326,413457,390894,6.073333333,135646,126100,6.45,277810,279581,5.826666667,201482,183260,6.463333333,211973,225086,5.686666667,65432,61624,46022,43212,31804,29667,22554,22319,165949,162629,81696,76783,143258,137746,277810,5.826666667,1673541.866,,,174,,,7.24,7.77,7.61,5.45,11.61,3.72,210504,204255,98436,96430,131580,127562,5.45,5.81,5.4,4.43,5.41,3.55,,0,0,0,0,0,0,0
175,Apr/18/2015,257079.152,22500,0.087521683,420120,390928,6.093333333,136096,126966,6.483333333,284022,279746,5.833333333,200899,192660,6.47,219220,225515,5.716666667,65860,61702,45747,43406,32294,29668,22836,22321,171209,162632,82174,76807,143902,137895,284022,5.833333333,1674551.615,,,175,,,7.1,7.49,7.56,5.48,11.27,3.77,216131,204299,105472,96604,135333,127768,5.42,5.84,5.32,4.26,5.28,3.63,,0,0,0,0,0,0,0
176,Apr/25/2015,568639.188,18360,0.032287609,417035,390957,6.053333333,141650,121844,6.376666667,275386,279910,5.856666667,207179,192725,6.426666667,209857,225925,5.71,65297,61777,47889,43425,32037,29670,21930,22323,169160,162634,80725,73813,145223,138036,275386,5.856666667,1675561.973,,,176,,,7.12,7.5,7.5,5.45,11.56,3.65,212286,204337,103435,96766,134556,127960,5.39,5.77,5.3,4.15,5.47,3.53,,0,0,0,0,0,0,0
177,May/2/2015,418336.588,19008,0.045437097,411017,390983,6.113333333,138003,123379,6.436666667,273014,280074,5.883333333,206185,192780,6.5,204834,226318,5.716666667,62777,61849,47542,43786,31552,29671,22774,22324,167633,162636,78742,76841,141868,138170,273014,5.883333333,1676572.94,,,177,,,7.15,7.61,7.61,5.53,11.3,3.65,213195,204370,98711,96918,128500,128141,5.44,5.84,5.43,4.22,5.63,3.51,,0,0,0,0,0,0,0
178,May/9/2015,401878.046,21696,0.053986527,396228,391005,6.046666667,134448,123175,6.36,261780,280238,5.88,198262,192825,6.433333333,197968,226698,5.703333333,60049,61919,46261,42503,31582,29671,20844,22325,161681,162638,75816,76853,137891,138298,261780,5.88,1677584.517,,,178,,,7.11,7.69,7.51,5.34,11.35,3.75,206335,204398,93354,97063,123717,128314,5.42,5.8,5.39,4.22,5.7,3.65,,0,0,0,0,0,0,0
179,May/16/2015,420244.754,24984,0.059451069,389741,391024,6.07,132066,127226,6.446666667,257677,280403,5.836666667,195356,192863,6.456666667,194385,227066,5.68,60258,61987,43866,43345,30942,30705,20607,22326,159362,162639,74708,76863,135068,138422,257677,5.836666667,1678596.705,,,179,,,7.16,7.86,7.5,5.38,11.48,3.75,202471,204422,88952,97200,119946,128478,5.41,5.83,5.38,4.18,5.84,3.61,,0,0,0,0,0,0,0
180,May/23/2015,529114.886,5040,0.009525342,382542,391041,6.063333333,131308,123946,6.416666667,251232,280567,5.866666667,193125,192894,6.48,189417,227424,5.68,59158,62053,43583,43531,30621,29673,20154,22326,153233,162640,75794,76872,133360,138542,251232,5.866666667,1679609.504,,,180,,,7.17,7.94,7.6,5.46,12.29,3.69,197483,204442,86452,97331,117412,128637,5.38,5.85,5.32,4.18,5.84,3.6,,0,0,0,0,0,0,0
181,May/30/2015,427025.568,5004,0.011718268,386258,391056,6.073333333,134563,124087,6.473333333,251695,280731,5.873333333,198182,192920,6.47,188077,227775,5.713333333,56704,62118,44720,43517,29267,29673,20694,22327,152314,162641,82559,76878,130691,138658,251695,5.873333333,1680622.913,,,181,,,7.16,7.85,7.73,5.49,12.14,3.71,200333,204460,88960,97457,119661,128790,5.42,5.84,5.44,4.2,5.99,3.62,,0,0,0,0,0,0,0
182,June/6/2015,441089.608,5328,0.012079178,397783,391068,6.143333333,138939,125921,6.55,258843,280896,5.873333333,204630,192942,6.536666667,193152,228118,5.72,58545,62182,45590,43180,29775,29673,21692,22327,159927,162642,82253,76884,133909,138771,258843,5.873333333,1681636.934,,,182,,,7.16,7.78,7.61,5.56,12.16,3.66,208784,204475,93836,97578,122939,128938,5.48,5.94,5.44,4.28,5.92,3.6,,0,0,0,0,0,0,0
183,June/13/2015,353249.916,18000,0.050955426,396908,391079,6.186666667,132485,122853,6.683333333,264423,281060,5.89,198915,192960,6.646666667,197992,228456,5.703333333,57405,62245,45271,42795,31128,29674,22141,22327,163325,162643,77636,76888,133804,138882,264423,5.89,1682651.567,,,183,,,7.03,7.96,7.5,4.93,12,3.63,214175,204488,91495,97696,120680,129083,5.49,6.04,5.39,4.3,5.97,3.55,,0,0,0,0,0,0,0
184,June/20/2015,484095.948,31296,0.064648341,391837,391089,6.14,128055,126846,6.703333333,263784,281224,5.856666667,192144,192975,6.623333333,199692,228789,5.67,58424,62307,44475,43064,32122,29674,21922,22328,160143,162643,74756,76891,135018,138991,263784,5.856666667,1683666.812,,,184,,,7.09,8.03,7.53,4.91,12.25,3.7,209117,204499,88072,97810,117989,129225,5.46,5.99,5.34,4.26,5.74,3.6,,0,0,0,0,0,0,0
185,June/27/2015,463793.464,42084,0.090738666,392224,391097,6.07,130023,129586,6.576666667,262202,281388,5.833333333,194992,192988,6.53,197232,229118,5.64,57395,62369,46226,43385,32735,29674,23616,22328,160376,162644,71879,76894,136357,139098,262202,5.833333333,1684682.669,,,185,,,7.13,8.03,7.76,5.01,12.41,3.68,206204,204509,87569,97922,118997,129365,5.42,5.91,5.39,4.27,5.75,3.58,,0,0,0,0,0,0,0
186,July/4/2015,443490.98,24480,0.055198417,399625,391104,6.01,132577,128710,6.503333333,267047,281553,5.79,195731,192998,6.47,203893,229444,5.596666667,57631,62430,46020,44998,32438,29674,23404,22328,164757,162644,75375,76896,136090,139203,267047,5.79,1685699.14,,,186,,,7.11,8.04,7.61,4.98,12.69,3.67,207620,204517,87538,98032,120519,129502,5.33,5.84,5.3,4.2,5.26,3.59,,0,0,0,0,0,0,0
187,July/11/2015,454866.026,45828,0.100750545,390660,391111,5.993333333,127026,128765,6.503333333,263634,281717,5.753333333,189113,193007,6.446666667,201548,229767,5.57,57269,62490,43653,44290,30862,29674,22680,22328,158560,162645,77636,76898,131784,139307,263634,5.753333333,1686716.224,,,187,,,7.2,8.04,7.61,5.09,12.42,3.76,198871,204524,84354,98139,118280,129638,5.3,5.73,5.22,4.16,5.37,3.64,,0,0,0,0,0,0,0
188,July/18/2015,573052.52,17640,0.030782519,392806,391116,5.966666667,130994,122006,6.43,261814,281881,5.756666667,193466,193015,6.443333333,199341,230088,5.546666667,57500,62550,44666,44193,30142,29674,22611,22328,161124,162645,76766,76900,132306,139411,261814,5.756666667,1687733.921,,,188,,,7.31,8.11,7.57,5.17,12.66,3.81,196210,200299,83917,98245,119016,129772,5.28,5.72,5.2,4.04,5.25,3.66,,0,0,0,0,0,0,0
189,July/25/2015,691239.014,7488,0.010832722,400086,391121,5.94,135841,124546,6.306666667,264245,282045,5.756666667,200632,193021,6.35,199453,230407,5.556666667,59714,62610,46664,45663,29971,29674,23559,22328,162765,162645,77412,76901,136350,139513,264245,5.756666667,1688752.232,,,189,,,7.31,8.12,7.51,5.17,12.52,3.89,196843,204536,85195,98349,121307,129905,5.2,5.7,5.19,3.98,5.5,3.39,,0,0,0,0,0,0,0
190,Aug/1/2015,564613.3627,20160,0.03570585,404771,391125,5.91,140023,128485,6.273333333,264749,297092,5.71,204593,193026,6.35,200180,230724,5.51,60295,64620,47205,46892,29693,29674,23964,22328,167314,169449,76303,76902,137190,139614,264749,5.71,1689771.158,,,190,,,7.29,8.1,7.41,5.31,12.41,3.88,197527,208768,84935,98452,122130,130037,5.13,5.63,5.21,3.9,5.67,3.28,,0,0,0,0,0,0,0
191,Aug/8/2015,437987.7113,7740,0.017671729,413672,391129,5.94,141559,126114,6.24,272113,296934,5.783333333,208053,193030,6.293333333,205620,231040,5.61,60108,64176,48508,47853,30325,29674,24228,22328,173682,162646,76821,76903,138942,139715,272113,5.783333333,1690790.699,,,191,,,7.3,8.06,7.67,5.45,11.55,3.89,200477,204544,90095,98554,127818,130168,5.16,5.68,5.11,3.97,5.65,3.3,,0,0,0,0,0,0,0
192,Aug/15/2015,311362.06,12060,0.038733043,418760,391132,5.946666667,148849,122718,6.253333333,269912,282538,5.803333333,213356,193033,6.283333333,205404,231355,5.633333333,60085,62788,48241,46394,30130,29674,23781,22328,179810,162646,76716,76903,138455,139815,269912,5.803333333,1691810.855,,,192,,,7.23,7.97,7.31,5.45,11.58,3.87,206047,204547,92419,98655,128096,130299,5.17,5.75,4.96,3.98,5.82,3.22,,0,0,0,0,0,0,0
193,Aug/22/2015,422759.66,5952,0.014078921,413133,391134,5.933333333,142175,122363,6.283333333,270958,282702,5.796666667,207329,193036,6.263333333,205804,231668,5.65,60791,62847,48011,46028,30956,29675,23222,22328,174550,162646,75604,76904,139759,139915,270958,5.796666667,1692831.626,,,193,,,7.19,7.87,7.29,5.49,11.64,3.79,205549,204550,93344,98755,128046,130429,5.22,5.74,4.97,3.98,6,3.37,,0,0,0,0,0,0,0
194,Aug/29/2015,534157.26,3960,0.007413547,418650,391137,5.99,146302,121838,6.363333333,272345,282867,5.826666667,210189,193039,6.37,208461,231981,5.653333333,60436,62906,49078,46754,31316,29675,25111,22328,178077,162646,74631,76904,140830,140015,272345,5.826666667,1693853.013,,,194,,,7.19,7.94,7.34,5.56,11.76,3.73,210719,204553,94553,98854,129724,130558,5.28,5.78,5.06,4.08,6.07,3.41,,0,0,0,0,0,0,0
195,Sep/5/2015,535439.916,3924,0.007328553,430352,391139,5.98,147261,127561,6.346666667,283092,283031,5.853333333,214199,193041,6.313333333,216153,232293,5.696666667,60601,62965,50381,46441,32116,29675,26243,22328,181301,162646,79712,76905,143098,140114,283092,5.853333333,1694875.017,,,195,,,7.16,7.93,7.54,5.56,11.6,3.7,220236,204555,97056,98953,132446,130687,5.33,5.81,5.22,4.13,6.09,3.5,,0,0,0,0,0,0,0
196,Sep/12/2015,536722.572,34752,0.064748535,422360,421604,6.03,143350,128695,6.37,279008,283195,5.86,210266,193043,6.39,212095,251985,5.68,59349,66547,48330,46763,31519,29675,25657,22328,178671,177698,78834,90272,139197,146940,279008,5.86,1695897.637,,,196,,,7.11,7.83,7.52,5.52,11.43,3.68,217359,204557,96902,99052,130693,141005,5.34,5.81,5.23,4.09,6.05,3.54,,0,0,0,0,0,0,0
197,Sep/19/2015,543980.14,24264,0.04460457,544912,514903,5.483333333,145274,130710,6.316666667,399638,389135,5.19,210983,175171,6.366666667,333928,338007,4.946666667,69768,69096,58389,47785,39292,35533,31476,28633,249804,245414,96184,94891,167447,147134,399638,5.19,1696920.874,,,197,,,6.5,6.38,7.55,5.55,11.77,3.67,262926,246515,141615,147643,191393,180723,4.86,4.72,5.41,4.06,6.2,3.55,,0,0,0,0,0,0,0
198,Sep/26/2015,551237.708,27360,0.04963376,525472,469382,5.533333333,140328,128029,6.39,385144,342796,5.213333333,206369,179327,6.38,319104,326871,4.986666667,70181,69218,56864,47663,39647,31335,29909,27667,234984,194552,93888,92561,166691,145851,385144,5.213333333,1697944.728,,,198,,,6.57,6.43,7.76,5.59,11.62,3.67,253989,230999,136253,125605,184480,154953,4.93,4.75,5.55,4.23,6.12,3.56,,0,0,0,0,0,0,0
199,Oct/3/2015,479400.532,18000,0.037546892,465364,454119,5.796666667,144066,128811,6.426666667,321298,319703,5.516666667,188908,193046,6.89,276457,301273,5.126666667,66108,66466,52098,48268,32239,29675,28919,24066,204190,214988,81814,88707,150443,143880,321298,5.516666667,1698969.201,,,199,,,6.87,7.07,7.74,5.51,11.62,3.63,235247,230841,112666,119814,151437,160475,5.19,5.26,5.53,4.22,6.03,3.53,,0,0,0,0,0,0,0
200,Oct/10/2015,,,,445337,417389,5.923333333,143544,127005,6.49,301796,283852,5.643333333,186380,193047,6.916666667,258960,279343,5.25,62634,63258,47887,45215,31943,29675,23979,22328,198665,178316,80230,85718,142464,140606,301796,5.643333333,1699994.291,,,200,,,6.99,7.28,7.78,5.6,10.97,3.64,229315,215071,106444,107762,142027,143963,5.32,5.45,5.53,4.36,6.06,3.56,,0,0,0,0,0,0,0
201,Oct/17/2015,,,,427251,407203,6.023333333,141327,122760,6.573333333,285924,309190,5.713333333,187536,193048,6.856666667,239714,267207,5.36,58640,63316,46064,46892,31448,29675,23618,22328,188252,174568,79226,82504,136155,140704,285924,5.713333333,1701020,,,201,,,7.09,7.53,7.33,5.71,10.88,3.78,221940,210914,98961,105310,132823,139971,5.39,5.61,5.15,4.48,6.16,3.71,,0,0,0,0,0,0,0
